Loja,Estado,Data da Venda,Produto,Marca,Categoria,Preço Unitário,Custo Unitário,Tamanho Pedido
Goiânia,Goias,2016-01-18,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Fortaleza,Ceara,2016-01-18,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Rio de Janeiro,Rio de Janeiro,2016-01-18,Smart TV 50' 4K,LG,Televisão,2600,1700,4
São Paulo,São Paulo,2016-01-18,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Belo Horizonte,Minas Gerais,2016-01-19,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Curitiba,Paraná,2016-01-21,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Fortaleza,Ceara,2016-01-21,Smart TV 50' 4K,LG,Televisão,2600,1700,1
São Paulo,São Paulo,2016-01-21,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Niterói,Rio de Janeiro,2016-01-22,Smart TV 50' 4K,LG,Televisão,2600,1700,1
São Paulo,São Paulo,2016-01-22,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Rio de Janeiro,Rio de Janeiro,2016-01-22,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Salvador,Bahia,2016-01-23,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Recife,Pernanbuco,2016-01-23,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Fortaleza,Ceara,2016-01-24,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Belo Horizonte,Minas Gerais,2016-01-24,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Salvador,Bahia,2016-01-24,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Recife,Pernanbuco,2016-01-25,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Guarulhos,São Paulo,2016-01-26,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Rio de Janeiro,Rio de Janeiro,2016-01-26,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Recife,Pernanbuco,2016-01-26,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Campinas,São Paulo,2016-01-27,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Recife,Pernanbuco,2016-01-28,Smart TV 50' 4K,LG,Televisão,2600,1700,3
São Paulo,São Paulo,2016-01-29,Smart TV 50' 4K,LG,Televisão,2600,1700,5
São Paulo,São Paulo,2016-01-30,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Fortaleza,Ceara,2016-01-30,Smart TV 50' 4K,LG,Televisão,2600,1700,3
São Paulo,São Paulo,2016-01-31,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Rio de Janeiro,Rio de Janeiro,2016-02-01,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Salvador,Bahia,2016-02-01,Smart TV 50' 4K,LG,Televisão,2600,1700,1
São Paulo,São Paulo,2016-02-01,Smart TV 50' 4K,LG,Televisão,2600,1700,4
São Paulo,São Paulo,2016-02-01,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Belo Horizonte,Minas Gerais,2016-02-03,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Recife,Pernanbuco,2016-02-03,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Belo Horizonte,Minas Gerais,2016-02-05,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Fortaleza,Ceara,2016-02-06,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Fortaleza,Ceara,2016-02-07,Smart TV 50' 4K,LG,Televisão,2600,1700,3
São Paulo,São Paulo,2016-02-07,Smart TV 50' 4K,LG,Televisão,2600,1700,5
São Paulo,São Paulo,2016-02-08,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Rio de Janeiro,Rio de Janeiro,2016-02-08,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Nova Iguaçu,Rio de Janeiro,2016-02-09,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Rio de Janeiro,Rio de Janeiro,2016-02-09,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Belo Horizonte,Minas Gerais,2016-02-09,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Rio de Janeiro,Rio de Janeiro,2016-02-09,Smart TV 50' 4K,LG,Televisão,2600,1700,5
São Paulo,São Paulo,2016-02-09,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Campinas,São Paulo,2016-02-09,Smart TV 50' 4K,LG,Televisão,2600,1700,2
São Paulo,São Paulo,2016-02-10,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Porto Alegre,Rio Grande do Sul,2016-02-10,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Salvador,Bahia,2016-02-12,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Rio de Janeiro,Rio de Janeiro,2016-02-12,Smart TV 50' 4K,LG,Televisão,2600,1700,5
São Paulo,São Paulo,2016-02-12,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Fortaleza,Ceara,2016-02-12,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Porto Alegre,Rio Grande do Sul,2016-02-13,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Goiânia,Goias,2016-02-14,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Recife,Pernanbuco,2016-02-14,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Belo Horizonte,Minas Gerais,2016-02-15,Smart TV 50' 4K,LG,Televisão,2600,1700,3
São Paulo,São Paulo,2016-02-15,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Rio de Janeiro,Rio de Janeiro,2016-02-15,Smart TV 50' 4K,LG,Televisão,2600,1700,2
São Paulo,São Paulo,2016-02-17,Smart TV 50' 4K,LG,Televisão,2600,1700,4
São Paulo,São Paulo,2016-02-18,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Salvador,Bahia,2016-02-18,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Belo Horizonte,Minas Gerais,2016-02-18,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Porto Alegre,Rio Grande do Sul,2016-02-19,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Belo Horizonte,Minas Gerais,2016-02-20,Smart TV 50' 4K,LG,Televisão,2600,1700,5
São Paulo,São Paulo,2016-02-20,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Nova Iguaçu,Rio de Janeiro,2016-02-20,Smart TV 50' 4K,LG,Televisão,2600,1700,4
São Paulo,São Paulo,2016-02-21,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Rio de Janeiro,Rio de Janeiro,2016-02-21,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Rio de Janeiro,Rio de Janeiro,2016-02-21,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Recife,Pernanbuco,2016-02-23,Smart TV 50' 4K,LG,Televisão,2600,1700,2
São Paulo,São Paulo,2016-02-25,Smart TV 50' 4K,LG,Televisão,2600,1700,2
São Paulo,São Paulo,2016-02-25,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Rio de Janeiro,Rio de Janeiro,2016-02-27,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Nova Iguaçu,Rio de Janeiro,2016-02-29,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Rio de Janeiro,Rio de Janeiro,2016-02-29,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Campinas,São Paulo,2016-03-01,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Recife,Pernanbuco,2016-03-02,Smart TV 50' 4K,LG,Televisão,2600,1700,2
São Paulo,São Paulo,2016-03-03,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Rio de Janeiro,Rio de Janeiro,2016-03-03,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Salvador,Bahia,2016-03-04,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Curitiba,Paraná,2016-03-04,Smart TV 50' 4K,LG,Televisão,2600,1700,1
São Paulo,São Paulo,2016-03-05,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Fortaleza,Ceara,2016-03-06,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Goiânia,Goias,2016-03-06,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Fortaleza,Ceara,2016-03-06,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Goiânia,Goias,2016-03-06,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Rio de Janeiro,Rio de Janeiro,2016-03-08,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Guarulhos,São Paulo,2016-03-08,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Curitiba,Paraná,2016-03-09,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Fortaleza,Ceara,2016-03-10,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Fortaleza,Ceara,2016-03-10,Smart TV 50' 4K,LG,Televisão,2600,1700,3
São Paulo,São Paulo,2016-03-10,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Fortaleza,Ceara,2016-03-11,Smart TV 50' 4K,LG,Televisão,2600,1700,5
São Paulo,São Paulo,2016-03-12,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Rio de Janeiro,Rio de Janeiro,2016-03-13,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Salvador,Bahia,2016-03-14,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Fortaleza,Ceara,2016-03-15,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Belo Horizonte,Minas Gerais,2016-03-15,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Salvador,Bahia,2016-03-16,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Belo Horizonte,Minas Gerais,2016-03-16,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Guarulhos,São Paulo,2016-03-16,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Fortaleza,Ceara,2016-03-16,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Porto Alegre,Rio Grande do Sul,2016-03-16,Smart TV 50' 4K,LG,Televisão,2600,1700,5
São Paulo,São Paulo,2016-03-17,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Guarulhos,São Paulo,2016-03-20,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Salvador,Bahia,2016-03-20,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Curitiba,Paraná,2016-03-21,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Recife,Pernanbuco,2016-03-21,Smart TV 50' 4K,LG,Televisão,2600,1700,4
São Paulo,São Paulo,2016-03-21,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Curitiba,Paraná,2016-03-21,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Fortaleza,Ceara,2016-03-23,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Belo Horizonte,Minas Gerais,2016-03-23,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Nova Iguaçu,Rio de Janeiro,2016-03-24,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Recife,Pernanbuco,2016-03-25,Smart TV 50' 4K,LG,Televisão,2600,1700,4
São Paulo,São Paulo,2016-03-26,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Fortaleza,Ceara,2016-03-26,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Fortaleza,Ceara,2016-03-26,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Porto Alegre,Rio Grande do Sul,2016-03-26,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Belo Horizonte,Minas Gerais,2016-03-26,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Recife,Pernanbuco,2016-03-27,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Recife,Pernanbuco,2016-03-27,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Fortaleza,Ceara,2016-03-28,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Rio de Janeiro,Rio de Janeiro,2016-03-28,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Belo Horizonte,Minas Gerais,2016-03-29,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Goiânia,Goias,2016-03-30,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Belo Horizonte,Minas Gerais,2016-03-31,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Salvador,Bahia,2016-04-01,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Niterói,Rio de Janeiro,2016-04-01,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Guarulhos,São Paulo,2016-04-01,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Belo Horizonte,Minas Gerais,2016-04-04,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Curitiba,Paraná,2016-04-04,Smart TV 50' 4K,LG,Televisão,2600,1700,1
São Paulo,São Paulo,2016-04-04,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Porto Alegre,Rio Grande do Sul,2016-04-06,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Fortaleza,Ceara,2016-04-07,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Campinas,São Paulo,2016-04-07,Smart TV 50' 4K,LG,Televisão,2600,1700,4
São Paulo,São Paulo,2016-04-08,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Fortaleza,Ceara,2016-04-08,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Curitiba,Paraná,2016-04-08,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Fortaleza,Ceara,2016-04-10,Smart TV 50' 4K,LG,Televisão,2600,1700,3
São Paulo,São Paulo,2016-04-11,Smart TV 50' 4K,LG,Televisão,2600,1700,4
São Paulo,São Paulo,2016-04-11,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Recife,Pernanbuco,2016-04-12,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Belo Horizonte,Minas Gerais,2016-04-13,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Rio de Janeiro,Rio de Janeiro,2016-04-13,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Campinas,São Paulo,2016-04-13,Smart TV 50' 4K,LG,Televisão,2600,1700,3
São Paulo,São Paulo,2016-04-16,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Curitiba,Paraná,2016-04-17,Smart TV 50' 4K,LG,Televisão,2600,1700,5
São Paulo,São Paulo,2016-04-17,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Curitiba,Paraná,2016-04-18,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Campinas,São Paulo,2016-04-18,Smart TV 50' 4K,LG,Televisão,2600,1700,3
São Paulo,São Paulo,2016-04-20,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Rio de Janeiro,Rio de Janeiro,2016-04-21,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Curitiba,Paraná,2016-04-21,Smart TV 50' 4K,LG,Televisão,2600,1700,3
São Paulo,São Paulo,2016-04-22,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Guarulhos,São Paulo,2016-04-22,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Salvador,Bahia,2016-04-23,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Salvador,Bahia,2016-04-23,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Fortaleza,Ceara,2016-04-23,Smart TV 50' 4K,LG,Televisão,2600,1700,1
São Paulo,São Paulo,2016-04-24,Smart TV 50' 4K,LG,Televisão,2600,1700,3
São Paulo,São Paulo,2016-04-24,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Goiânia,Goias,2016-04-24,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Salvador,Bahia,2016-04-25,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Salvador,Bahia,2016-04-25,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Recife,Pernanbuco,2016-04-26,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Salvador,Bahia,2016-04-26,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Campinas,São Paulo,2016-04-27,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Recife,Pernanbuco,2016-04-27,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Rio de Janeiro,Rio de Janeiro,2016-04-28,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Goiânia,Goias,2016-04-28,Smart TV 50' 4K,LG,Televisão,2600,1700,1
São Paulo,São Paulo,2016-04-28,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Fortaleza,Ceara,2016-04-28,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Campinas,São Paulo,2016-04-29,Smart TV 50' 4K,LG,Televisão,2600,1700,4
São Paulo,São Paulo,2016-04-29,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Goiânia,Goias,2016-04-29,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Recife,Pernanbuco,2016-04-30,Smart TV 50' 4K,LG,Televisão,2600,1700,2
São Paulo,São Paulo,2016-04-30,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Belo Horizonte,Minas Gerais,2016-05-01,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Nova Iguaçu,Rio de Janeiro,2016-05-02,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Belo Horizonte,Minas Gerais,2016-05-03,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Salvador,Bahia,2016-05-06,Smart TV 50' 4K,LG,Televisão,2600,1700,2
São Paulo,São Paulo,2016-05-06,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Porto Alegre,Rio Grande do Sul,2016-05-07,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Guarulhos,São Paulo,2016-05-07,Smart TV 50' 4K,LG,Televisão,2600,1700,5
São Paulo,São Paulo,2016-05-07,Smart TV 50' 4K,LG,Televisão,2600,1700,2
São Paulo,São Paulo,2016-05-09,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Salvador,Bahia,2016-05-10,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Recife,Pernanbuco,2016-05-10,Smart TV 50' 4K,LG,Televisão,2600,1700,1
São Paulo,São Paulo,2016-05-10,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Salvador,Bahia,2016-05-11,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Fortaleza,Ceara,2016-05-12,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Campinas,São Paulo,2016-05-14,Smart TV 50' 4K,LG,Televisão,2600,1700,5
São Paulo,São Paulo,2016-05-14,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Belo Horizonte,Minas Gerais,2016-05-14,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Guarulhos,São Paulo,2016-05-15,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Belo Horizonte,Minas Gerais,2016-05-16,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Recife,Pernanbuco,2016-05-16,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Belo Horizonte,Minas Gerais,2016-05-17,Smart TV 50' 4K,LG,Televisão,2600,1700,1
São Paulo,São Paulo,2016-05-18,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Fortaleza,Ceara,2016-05-18,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Rio de Janeiro,Rio de Janeiro,2016-05-18,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Recife,Pernanbuco,2016-05-19,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Curitiba,Paraná,2016-05-19,Smart TV 50' 4K,LG,Televisão,2600,1700,3
São Paulo,São Paulo,2016-05-19,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Belo Horizonte,Minas Gerais,2016-05-20,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Campinas,São Paulo,2016-05-21,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Recife,Pernanbuco,2016-05-21,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Porto Alegre,Rio Grande do Sul,2016-05-22,Smart TV 50' 4K,LG,Televisão,2600,1700,4
São Paulo,São Paulo,2016-05-22,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Nova Iguaçu,Rio de Janeiro,2016-05-22,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Rio de Janeiro,Rio de Janeiro,2016-05-23,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Curitiba,Paraná,2016-05-24,Smart TV 50' 4K,LG,Televisão,2600,1700,5
São Paulo,São Paulo,2016-05-25,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Fortaleza,Ceara,2016-05-25,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Guarulhos,São Paulo,2016-05-25,Smart TV 50' 4K,LG,Televisão,2600,1700,2
São Paulo,São Paulo,2016-05-26,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Niterói,Rio de Janeiro,2016-05-30,Smart TV 50' 4K,LG,Televisão,2600,1700,2
São Paulo,São Paulo,2016-05-30,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Recife,Pernanbuco,2016-06-01,Smart TV 50' 4K,LG,Televisão,2600,1700,4
São Paulo,São Paulo,2016-06-01,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Fortaleza,Ceara,2016-06-01,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Niterói,Rio de Janeiro,2016-06-01,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Recife,Pernanbuco,2016-06-01,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Fortaleza,Ceara,2016-06-02,Smart TV 50' 4K,LG,Televisão,2600,1700,5
Porto Alegre,Rio Grande do Sul,2016-06-02,Smart TV 50' 4K,LG,Televisão,2600,1700,4
Recife,Pernanbuco,2016-06-03,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Curitiba,Paraná,2016-06-03,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Recife,Pernanbuco,2016-06-04,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Fortaleza,Ceara,2016-06-05,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Recife,Pernanbuco,2016-06-05,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Recife,Pernanbuco,2016-06-05,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Rio de Janeiro,Rio de Janeiro,2016-06-06,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Fortaleza,Ceara,2016-06-06,Smart TV 50' 4K,LG,Televisão,2600,1700,1
Salvador,Bahia,2016-06-06,Smart TV 50' 4K,LG,Televisão,2600,1700,3
Curitiba,Paraná,2016-06-06,Smart TV 50' 4K,LG,Televisão,2600,1700,2
Belo Horizonte,Minas Gerais,2016-06-07,Smart TV 50' 4K,LG,Televisão,2600,1700,5
São Paulo,São Paulo,2016-06-07,Smart TV 50' 4K,LG,Televisão,2600,1700,1
