Produto,Categoria,Preco,Quantidade,DataVenda
Câmera Coolpix L340,Câmera,1550,1,2016-01-03
Smart TV 50' 4K,Televisão,2600,3,2016-01-03
Smart TV 50' 4K,Televisão,2600,3,2016-01-03
Câmera Coolpix L340,Câmera,1550,4,2016-01-03
Smart TV 50' 4K,Televisão,2600,1,2016-01-03
Smart TV 50' 4K,Televisão,2600,1,2016-01-03
Câmera Digital Sony Cyber,Câmera,700,5,2016-01-03
Smart Watch MI,Smart Watch,1200,2,2016-01-03
Câmera Coolpix L340,Câmera,1550,2,2016-01-03
Câmera Coolpix L340,Câmera,1550,3,2016-01-03
Galaxy S8,Celular,3000,4,2016-01-03
iPhone 6S,Celular,1900,5,2016-01-03
Moto G7,Celular,1400,1,2016-01-03
Inspiron 15,Notebook,2300,2,2016-01-03
Galaxy J8,Celular,1100,4,2016-01-03
Inspiron 15,Notebook,2300,2,2016-01-03
Smart TV LED Full HD 55',Televisão,2000,4,2016-01-03
TV LED 32',Televisão,1400,4,2016-01-03
Câmera Digital Sony Cyber,Câmera,700,4,2016-01-03
Moto G7,Celular,1400,1,2016-01-03
Smart TV 50' 4K,Televisão,2600,5,2016-01-03
Moto G7,Celular,1400,5,2016-01-03
iPhone XS,Celular,6500,4,2016-01-03
Inspiron 15,Notebook,2300,4,2016-01-03
iPhone XS,Celular,6500,5,2016-01-04
Samsung Dual Core,Notebook,1500,3,2016-01-04
Câmera Digital Rebel T6,Câmera,1500,5,2016-01-04
Câmera Digital Rebel T6,Câmera,1500,2,2016-01-04
Câmera Digital Sony Cyber,Câmera,700,1,2016-01-04
Moto Z,Celular,1500,5,2016-01-04
Moto G7,Celular,1400,2,2016-01-04
Inspiron 15,Notebook,2300,2,2016-01-04
Smart TV LED Full HD 55',Televisão,2000,4,2016-01-04
Smart TV 50' 4K,Televisão,2600,3,2016-01-04
Inspiron 15,Notebook,2300,2,2016-01-04
Inspiron 15,Notebook,2300,1,2016-01-04
Galaxy S8,Celular,3000,1,2016-01-04
Galaxy J8,Celular,1100,2,2016-01-04
Smart TV LED Full HD 55',Televisão,2000,1,2016-01-04
Smart TV 50' 4K,Televisão,2600,5,2016-01-04
Smart TV 75' 4K,Televisão,5200,5,2016-01-04
Galaxy J8,Celular,1100,2,2016-01-04
Inspiron 15,Notebook,2300,5,2016-01-04
Inspiron 15,Notebook,2300,1,2016-01-04
Smart Watch Galaxy,Smart Watch,1450,5,2016-01-04
Moto G7,Celular,1400,5,2016-01-04
TV LED 32',Televisão,1400,1,2016-01-04
Dell G7,Notebook,5500,2,2016-01-04
Smart TV 50' 4K,Televisão,2600,1,2016-01-04
Smart TV 50' 4K,Televisão,2600,4,2016-01-04
Smart TV 50' 4K,Televisão,2600,4,2016-01-04
Moto G7,Celular,1400,3,2016-01-04
Inspiron 15,Notebook,2300,4,2016-01-05
Câmera Digital Sony Cyber,Câmera,700,5,2016-01-05
Apple Watch,Smart Watch,1750,4,2016-01-05
Smart TV 50' 4K,Televisão,2600,2,2016-01-05
Câmera Coolpix L340,Câmera,1550,2,2016-01-05
Galaxy S8,Celular,3000,5,2016-01-05
Câmera Digital Rebel T6,Câmera,1500,4,2016-01-05
Inspiron 15,Notebook,2300,2,2016-01-05
Galaxy S8,Celular,3000,1,2016-01-05
Smart Watch MI,Smart Watch,1200,5,2016-01-05
Apple Watch,Smart Watch,1750,1,2016-01-05
Inspiron 15,Notebook,2300,2,2016-01-05
Smart TV LED Full HD 55',Televisão,2000,1,2016-01-05
Aspire 5,Notebook,2400,2,2016-01-05
Inspiron 15,Notebook,2300,3,2016-01-05
Câmera Digital Sony Cyber,Câmera,700,2,2016-01-05
Samsung Dual Core,Notebook,1500,5,2016-01-05
Moto Z,Celular,1500,3,2016-01-05
Câmera Digital Rebel T6,Câmera,1500,2,2016-01-05
Galaxy S10,Celular,4500,2,2016-01-06
Smart TV 50' 4K,Televisão,2600,5,2016-01-06
Moto Z,Celular,1500,4,2016-01-06
Moto G7,Celular,1400,5,2016-01-06
Câmera Coolpix L340,Câmera,1550,4,2016-01-06
Smart TV LED Full HD 55',Televisão,2000,4,2016-01-06
Smart Watch MI,Smart Watch,1200,2,2016-01-06
Samsung Dual Core,Notebook,1500,5,2016-01-06
iPhone XS,Celular,6500,1,2016-01-06
Samsung Dual Core,Notebook,1500,1,2016-01-06
Aspire 5,Notebook,2400,5,2016-01-06
Smart Watch MI,Smart Watch,1200,4,2016-01-06
iPhone XS,Celular,6500,4,2016-01-06
Smart TV LED Full HD 55',Televisão,2000,5,2016-01-06
Câmera Digital Rebel T6,Câmera,1500,4,2016-01-06
Smart TV LED Full HD 55',Televisão,2000,3,2016-01-06
Câmera Digital Sony Cyber,Câmera,700,3,2016-01-06
Dell G7,Notebook,5500,1,2016-01-06
Smart TV 75' 4K,Televisão,5200,1,2016-01-06
Câmera Digital Sony Cyber,Câmera,700,3,2016-01-06
Aspire 5,Notebook,2400,3,2016-01-06
Câmera Digital Rebel T6,Câmera,1500,4,2016-01-07
Smart TV LED Full HD 55',Televisão,2000,3,2016-01-07
Smart TV LED Full HD 55',Televisão,2000,5,2016-01-07
Câmera Digital Rebel T6,Câmera,1500,3,2016-01-07
Smart TV 75' 4K,Televisão,5200,4,2016-01-07
Moto G7,Celular,1400,1,2016-01-07
Smart Watch MI,Smart Watch,1200,5,2016-01-07
iPhone XS,Celular,6500,4,2016-01-07
Inspiron 15,Notebook,2300,3,2016-01-07
Moto G7,Celular,1400,3,2016-01-07
Smart Watch MI,Smart Watch,1200,3,2016-01-07
Aspire 5,Notebook,2400,2,2016-01-07
Smart TV 50' 4K,Televisão,2600,3,2016-01-07
Smart Watch MI,Smart Watch,1200,3,2016-01-07
iPhone 7,Celular,2500,4,2016-01-07
Smart Watch Galaxy,Smart Watch,1450,4,2016-01-07
Smart TV LED Full HD 55',Televisão,2000,2,2016-01-07
Moto G7,Celular,1400,3,2016-01-07
Câmera Digital Sony Cyber,Câmera,700,5,2016-01-07
Galaxy J8,Celular,1100,1,2016-01-07
Câmera Digital Rebel T6,Câmera,1500,3,2016-01-07
Smart TV LED Full HD 55',Televisão,2000,5,2016-01-07
Smart TV 50' 4K,Televisão,2600,2,2016-01-07
Câmera Digital Sony Cyber,Câmera,700,5,2016-01-07
Câmera Digital Sony Cyber,Câmera,700,3,2016-01-07
iPhone 7,Celular,2500,2,2016-01-08
TV LED 32',Televisão,1400,4,2016-01-08
Galaxy S10,Celular,4500,3,2016-01-08
Smart TV 50' 4K,Televisão,2600,4,2016-01-08
Inspiron 15,Notebook,2300,3,2016-01-08
Smart TV LED Full HD 55',Televisão,2000,5,2016-01-08
Câmera Digital Sony Cyber,Câmera,700,2,2016-01-08
iPhone 7,Celular,2500,1,2016-01-08
Galaxy S8,Celular,3000,3,2016-01-08
Inspiron 15,Notebook,2300,4,2016-01-08
Smart Watch Galaxy,Smart Watch,1450,3,2016-01-08
Smart Watch MI,Smart Watch,1200,1,2016-01-08
Moto G7,Celular,1400,5,2016-01-08
Smart TV 75' 4K,Televisão,5200,1,2016-01-09
Câmera Coolpix L340,Câmera,1550,4,2016-01-09
Galaxy S8,Celular,3000,5,2016-01-09
Smart Watch MI,Smart Watch,1200,5,2016-01-09
Moto G7,Celular,1400,2,2016-01-09
Câmera Digital Rebel T6,Câmera,1500,1,2016-01-09
Smart TV 50' 4K,Televisão,2600,1,2016-01-09
TV LED 32',Televisão,1400,2,2016-01-09
Smart TV 50' 4K,Televisão,2600,5,2016-01-09
Câmera Coolpix L340,Câmera,1550,4,2016-01-09
Samsung Dual Core,Notebook,1500,2,2016-01-09
Câmera Digital Sony Cyber,Câmera,700,1,2016-01-09
Smart Watch MI,Smart Watch,1200,5,2016-01-09
Smart TV 50' 4K,Televisão,2600,4,2016-01-09
Dell G7,Notebook,5500,1,2016-01-09
Smart TV 50' 4K,Televisão,2600,1,2016-01-09
Smart TV 50' 4K,Televisão,2600,4,2016-01-09
Câmera Digital Sony Cyber,Câmera,700,5,2016-01-09
Câmera Coolpix L340,Câmera,1550,2,2016-01-09
Câmera Digital Sony Cyber,Câmera,700,4,2016-01-09
TV LED 32',Televisão,1400,4,2016-01-09
Câmera Coolpix L340,Câmera,1550,3,2016-01-10
Moto G7,Celular,1400,2,2016-01-10
Smart TV 50' 4K,Televisão,2600,1,2016-01-10
iPhone 6S,Celular,1900,1,2016-01-10
Câmera Coolpix L340,Câmera,1550,5,2016-01-10
Smart TV 50' 4K,Televisão,2600,5,2016-01-10
Câmera Digital Sony Cyber,Câmera,700,2,2016-01-10
Inspiron 15,Notebook,2300,3,2016-01-10
iPhone 7,Celular,2500,1,2016-01-10
Câmera Coolpix L340,Câmera,1550,2,2016-01-10
Dell G7,Notebook,5500,2,2016-01-10
Moto Z,Celular,1500,3,2016-01-10
Câmera Digital Rebel T6,Câmera,1500,4,2016-01-10
Inspiron 15,Notebook,2300,4,2016-01-10
Tablet M10 Android,Tablet,2000,5,2016-01-10
Câmera Digital Sony Cyber,Câmera,700,4,2016-01-10
Inspiron 15,Notebook,2300,3,2016-01-10
iPhone XS,Celular,6500,3,2016-01-10
Inspiron 15,Notebook,2300,5,2016-01-10
Câmera Coolpix L340,Câmera,1550,2,2016-01-11
Smart TV LED Full HD 55',Televisão,2000,3,2016-01-11
Smart TV 50' 4K,Televisão,2600,3,2016-01-11
Inspiron 15,Notebook,2300,3,2016-01-11
Smart TV 50' 4K,Televisão,2600,3,2016-01-11
Câmera Digital Sony Cyber,Câmera,700,3,2016-01-11
Moto Z,Celular,1500,1,2016-01-11
Galaxy S8,Celular,3000,4,2016-01-11
Galaxy S8,Celular,3000,2,2016-01-11
Samsung Dual Core,Notebook,1500,3,2016-01-11
Moto Z,Celular,1500,5,2016-01-11
Apple Watch,Smart Watch,1750,3,2016-01-11
Smart TV LED Full HD 55',Televisão,2000,4,2016-01-11
Câmera Digital Sony Cyber,Câmera,700,4,2016-01-11
Aspire 5,Notebook,2400,3,2016-01-11
iPhone 7,Celular,2500,2,2016-01-11
Galaxy S8,Celular,3000,2,2016-01-11
Câmera Coolpix L340,Câmera,1550,3,2016-01-11
Câmera Digital Rebel T6,Câmera,1500,2,2016-01-11
Apple Watch,Smart Watch,1750,2,2016-01-12
iPhone 7,Celular,2500,1,2016-01-12
Moto G7,Celular,1400,5,2016-01-12
Câmera Coolpix L340,Câmera,1550,2,2016-01-12
Samsung Dual Core,Notebook,1500,2,2016-01-12
Smart TV LED Full HD 55',Televisão,2000,5,2016-01-12
Galaxy S8,Celular,3000,4,2016-01-12
Samsung Dual Core,Notebook,1500,4,2016-01-12
Smart TV 50' 4K,Televisão,2600,2,2016-01-12
Smart TV 50' 4K,Televisão,2600,5,2016-01-12
Galaxy S8,Celular,3000,1,2016-01-12
iPhone XS,Celular,6500,2,2016-01-12
Smart TV 50' 4K,Televisão,2600,5,2016-01-12
Smart TV LED Full HD 55',Televisão,2000,3,2016-01-12
Moto G7,Celular,1400,3,2016-01-13
Galaxy J8,Celular,1100,1,2016-01-13
Câmera Digital Rebel T6,Câmera,1500,1,2016-01-13
Câmera Digital Sony Cyber,Câmera,700,3,2016-01-13
Samsung Dual Core,Notebook,1500,5,2016-01-13
Smart Watch MI,Smart Watch,1200,4,2016-01-13
Galaxy S8,Celular,3000,2,2016-01-13
Câmera Digital Rebel T6,Câmera,1500,5,2016-01-13
Smart TV 50' 4K,Televisão,2600,1,2016-01-13
Smart TV LED Full HD 55',Televisão,2000,2,2016-01-13
Galaxy S8,Celular,3000,2,2016-01-13
Dell G7,Notebook,5500,3,2016-01-13
Moto G7,Celular,1400,1,2016-01-13
Smart TV 50' 4K,Televisão,2600,2,2016-01-13
Samsung Dual Core,Notebook,1500,3,2016-01-13
iPhone XS,Celular,6500,2,2016-01-13
Smart TV LED Full HD 55',Televisão,2000,4,2016-01-13
iPhone 7,Celular,2500,2,2016-01-13
Inspiron 15,Notebook,2300,2,2016-01-13
Smart TV LED Full HD 55',Televisão,2000,4,2016-01-13
Moto Z,Celular,1500,5,2016-01-13
Galaxy S8,Celular,3000,3,2016-01-13
Câmera Digital Rebel T6,Câmera,1500,4,2016-01-13
Moto G7,Celular,1400,4,2016-01-13
Aspire 5,Notebook,2400,4,2016-01-13
iPhone 7,Celular,2500,2,2016-01-14
Dell G7,Notebook,5500,1,2016-01-14
Galaxy S10,Celular,4500,2,2016-01-14
Aspire 5,Notebook,2400,2,2016-01-14
Galaxy S8,Celular,3000,1,2016-01-14
Samsung Dual Core,Notebook,1500,1,2016-01-14
Smart Watch MI,Smart Watch,1200,3,2016-01-14
Smart TV 50' 4K,Televisão,2600,2,2016-01-14
Smart TV 50' 4K,Televisão,2600,1,2016-01-14
Câmera Digital Sony Cyber,Câmera,700,4,2016-01-14
iPhone 7,Celular,2500,1,2016-01-14
Câmera Coolpix L340,Câmera,1550,2,2016-01-14
Smart TV 50' 4K,Televisão,2600,3,2016-01-14
iPhone 6S,Celular,1900,4,2016-01-14
Galaxy S8,Celular,3000,4,2016-01-14
Câmera Digital Rebel T6,Câmera,1500,2,2016-01-14
Câmera Digital Sony Cyber,Câmera,700,1,2016-01-14
Câmera Digital Sony Cyber,Câmera,700,3,2016-01-14
Aspire 5,Notebook,2400,5,2016-01-14
Aspire 5,Notebook,2400,1,2016-01-15
Câmera Digital Sony Cyber,Câmera,700,5,2016-01-15
Galaxy J8,Celular,1100,3,2016-01-15
Inspiron 15,Notebook,2300,5,2016-01-15
Câmera Digital Sony Cyber,Câmera,700,2,2016-01-15
Moto G7,Celular,1400,2,2016-01-15
Câmera Digital Rebel T6,Câmera,1500,3,2016-01-15
iPhone XS,Celular,6500,2,2016-01-15
Galaxy S8,Celular,3000,5,2016-01-15
Moto G7,Celular,1400,3,2016-01-15
Galaxy S8,Celular,3000,5,2016-01-15
Câmera Coolpix L340,Câmera,1550,2,2016-01-15
Smart TV 50' 4K,Televisão,2600,5,2016-01-15
iPhone 6S,Celular,1900,2,2016-01-15
Câmera Digital Sony Cyber,Câmera,700,5,2016-01-15
Smart TV 50' 4K,Televisão,2600,2,2016-01-15
Smart TV LED Full HD 55',Televisão,2000,3,2016-01-15
Moto G7,Celular,1400,5,2016-01-15
Smart TV 50' 4K,Televisão,2600,1,2016-01-15
Câmera Digital Sony Cyber,Câmera,700,1,2016-01-15
Câmera Digital Sony Cyber,Câmera,700,4,2016-01-15
Apple Watch,Smart Watch,1750,3,2016-01-15
Smart TV 50' 4K,Televisão,2600,4,2016-01-15
Samsung Dual Core,Notebook,1500,4,2016-01-15
iPad 32GB Wifi,Tablet,750,5,2016-01-15
Moto G7,Celular,1400,5,2016-01-15
Moto G7,Celular,1400,3,2016-01-16
Moto G7,Celular,1400,1,2016-01-16
Smart TV 50' 4K,Televisão,2600,3,2016-01-16
Galaxy S10,Celular,4500,1,2016-01-16
Moto Z,Celular,1500,3,2016-01-16
Smart Watch MI,Smart Watch,1200,2,2016-01-16
Moto G7,Celular,1400,1,2016-01-16
Smart TV 50' 4K,Televisão,2600,1,2016-01-16
Câmera Coolpix L340,Câmera,1550,1,2016-01-16
Smart TV 50' 4K,Televisão,2600,2,2016-01-16
Inspiron 15,Notebook,2300,3,2016-01-16
Moto G7,Celular,1400,4,2016-01-16
Câmera Digital Rebel T6,Câmera,1500,3,2016-01-16
Câmera Digital Rebel T6,Câmera,1500,2,2016-01-16
Smart Watch Galaxy,Smart Watch,1450,4,2016-01-16
Moto Z,Celular,1500,1,2016-01-16
Moto G7,Celular,1400,3,2016-01-16
Câmera Digital Sony Cyber,Câmera,700,1,2016-01-16
Galaxy S8,Celular,3000,1,2016-01-17
Câmera Digital Rebel T6,Câmera,1500,3,2016-01-17
Moto G7,Celular,1400,5,2016-01-17
Inspiron 15,Notebook,2300,3,2016-01-17
Inspiron 15,Notebook,2300,4,2016-01-17
Smart TV 50' 4K,Televisão,2600,5,2016-01-17
Smart TV 50' 4K,Televisão,2600,5,2016-01-17
Inspiron 15,Notebook,2300,5,2016-01-17
Câmera Digital Sony Cyber,Câmera,700,1,2016-01-17
Câmera Digital Rebel T6,Câmera,1500,2,2016-01-17
Câmera Digital Sony Cyber,Câmera,700,1,2016-01-17
TV LED 32',Televisão,1400,4,2016-01-17
Samsung Dual Core,Notebook,1500,3,2016-01-17
Câmera Digital Sony Cyber,Câmera,700,1,2016-01-17
Moto G7,Celular,1400,1,2016-01-17
Aspire 5,Notebook,2400,3,2016-01-17
Câmera Coolpix L340,Câmera,1550,3,2016-01-18
Smart TV LED Full HD 55',Televisão,2000,3,2016-01-18
Smart TV 50' 4K,Televisão,2600,1,2016-01-18
Smart TV 50' 4K,Televisão,2600,5,2016-01-18
Moto G7,Celular,1400,5,2016-01-18
Samsung Dual Core,Notebook,1500,3,2016-01-18
Samsung Dual Core,Notebook,1500,4,2016-01-18
Inspiron 15,Notebook,2300,5,2016-01-18
Smart TV 75' 4K,Televisão,5200,3,2016-01-18
Smart TV LED Full HD 55',Televisão,2000,4,2016-01-18
iPhone 7,Celular,2500,4,2016-01-18
Smart TV 50' 4K,Televisão,2600,3,2016-01-18
Smart TV LED Full HD 55',Televisão,2000,1,2016-01-18
Câmera Coolpix L340,Câmera,1550,1,2016-01-18
Galaxy S8,Celular,3000,5,2016-01-18
Galaxy S8,Celular,3000,4,2016-01-18
Moto G7,Celular,1400,4,2016-01-18
Moto G7,Celular,1400,5,2016-01-18
Dell G7,Notebook,5500,5,2016-01-18
TV LED 32',Televisão,1400,1,2016-01-18
iPhone 7,Celular,2500,5,2016-01-18
Galaxy S10,Celular,4500,2,2016-01-18
TV LED 32',Televisão,1400,1,2016-01-18
Samsung Dual Core,Notebook,1500,5,2016-01-18
Smart TV 50' 4K,Televisão,2600,4,2016-01-18
Smart TV LED Full HD 55',Televisão,2000,2,2016-01-18
Smart TV 50' 4K,Televisão,2600,2,2016-01-18
Galaxy S8,Celular,3000,1,2016-01-19
Tablet M10 Android,Tablet,2000,5,2016-01-19
Câmera Digital Sony Cyber,Câmera,700,4,2016-01-19
Câmera Coolpix L340,Câmera,1550,3,2016-01-19
iPhone 7,Celular,2500,2,2016-01-19
Câmera Coolpix L340,Câmera,1550,4,2016-01-19
Smart TV LED Full HD 55',Televisão,2000,2,2016-01-19
Smart TV 50' 4K,Televisão,2600,4,2016-01-19
Moto Z,Celular,1500,1,2016-01-19
iPhone 7,Celular,2500,3,2016-01-19
Aspire 5,Notebook,2400,5,2016-01-19
Inspiron 15,Notebook,2300,2,2016-01-19
Aspire 5,Notebook,2400,3,2016-01-19
Tablet M10 Android,Tablet,2000,1,2016-01-19
Câmera Digital Rebel T6,Câmera,1500,1,2016-01-19
iPhone XS,Celular,6500,4,2016-01-19
Galaxy J8,Celular,1100,3,2016-01-20
Câmera Digital Rebel T6,Câmera,1500,4,2016-01-20
Moto G7,Celular,1400,3,2016-01-20
Moto Z,Celular,1500,4,2016-01-20
Smart TV 75' 4K,Televisão,5200,2,2016-01-20
Smart Watch MI,Smart Watch,1200,1,2016-01-20
iPhone 7,Celular,2500,4,2016-01-20
Dell G7,Notebook,5500,5,2016-01-20
iPhone XS,Celular,6500,4,2016-01-20
Câmera Digital Rebel T6,Câmera,1500,2,2016-01-20
Smart TV LED Full HD 55',Televisão,2000,1,2016-01-20
iPhone 7,Celular,2500,4,2016-01-20
Inspiron 15,Notebook,2300,4,2016-01-20
Moto G7,Celular,1400,5,2016-01-20
Moto G7,Celular,1400,5,2016-01-20
Smart TV LED Full HD 55',Televisão,2000,4,2016-01-21
iPhone 6S,Celular,1900,1,2016-01-21
Câmera Coolpix L340,Câmera,1550,2,2016-01-21
Smart TV LED Full HD 55',Televisão,2000,4,2016-01-21
Smart TV LED Full HD 55',Televisão,2000,3,2016-01-21
iPhone XS,Celular,6500,4,2016-01-21
Moto G7,Celular,1400,4,2016-01-21
Câmera Digital Rebel T6,Câmera,1500,3,2016-01-21
Smart TV 75' 4K,Televisão,5200,2,2016-01-21
Smart TV 50' 4K,Televisão,2600,1,2016-01-21
iPhone 7,Celular,2500,4,2016-01-21
Samsung Dual Core,Notebook,1500,4,2016-01-21
Smart Watch MI,Smart Watch,1200,3,2016-01-21
iPhone XS,Celular,6500,3,2016-01-21
Câmera Digital Sony Cyber,Câmera,700,5,2016-01-21
iPhone XS,Celular,6500,1,2016-01-21
Galaxy S8,Celular,3000,3,2016-01-21
Smart TV 50' 4K,Televisão,2600,1,2016-01-21
Smart TV 50' 4K,Televisão,2600,1,2016-01-21
TV LED 32',Televisão,1400,2,2016-01-21
Smart Watch MI,Smart Watch,1200,1,2016-01-21
Câmera Coolpix L340,Câmera,1550,5,2016-01-22
Câmera Digital Sony Cyber,Câmera,700,4,2016-01-22
iPhone 7,Celular,2500,3,2016-01-22
Galaxy S10,Celular,4500,2,2016-01-22
Smart TV 50' 4K,Televisão,2600,1,2016-01-22
Aspire 5,Notebook,2400,5,2016-01-22
Galaxy J8,Celular,1100,5,2016-01-22
Moto Z,Celular,1500,2,2016-01-22
Galaxy S8,Celular,3000,3,2016-01-22
Smart TV 50' 4K,Televisão,2600,5,2016-01-22
Tablet M10 Android,Tablet,2000,2,2016-01-22
Smart TV 75' 4K,Televisão,5200,4,2016-01-22
iPhone XS,Celular,6500,5,2016-01-22
Moto G7,Celular,1400,5,2016-01-22
Smart TV 50' 4K,Televisão,2600,5,2016-01-22
TV LED 32',Televisão,1400,2,2016-01-22
Samsung Dual Core,Notebook,1500,3,2016-01-22
Aspire 5,Notebook,2400,1,2016-01-22
Moto G7,Celular,1400,5,2016-01-22
Apple Watch,Smart Watch,1750,2,2016-01-23
Câmera Digital Sony Cyber,Câmera,700,3,2016-01-23
Inspiron 15,Notebook,2300,2,2016-01-23
Galaxy S10,Celular,4500,4,2016-01-23
iPhone 6S,Celular,1900,3,2016-01-23
Galaxy S8,Celular,3000,3,2016-01-23
Smart Watch MI,Smart Watch,1200,3,2016-01-23
Inspiron 15,Notebook,2300,3,2016-01-23
Smart TV 50' 4K,Televisão,2600,2,2016-01-23
Samsung Dual Core,Notebook,1500,5,2016-01-23
Smart TV 50' 4K,Televisão,2600,1,2016-01-23
Galaxy S10,Celular,4500,4,2016-01-23
Câmera Digital Rebel T6,Câmera,1500,5,2016-01-23
iPad 32GB Wifi,Tablet,750,4,2016-01-23
Smart Watch MI,Smart Watch,1200,4,2016-01-23
Smart TV 50' 4K,Televisão,2600,2,2016-01-24
Smart TV 50' 4K,Televisão,2600,4,2016-01-24
Câmera Digital Rebel T6,Câmera,1500,5,2016-01-24
Moto Z,Celular,1500,1,2016-01-24
Dell G7,Notebook,5500,2,2016-01-24
iPhone XS,Celular,6500,1,2016-01-24
Aspire 5,Notebook,2400,5,2016-01-24
iPhone XS,Celular,6500,4,2016-01-24
iPhone XS,Celular,6500,3,2016-01-24
Smart TV 50' 4K,Televisão,2600,4,2016-01-24
Aspire 5,Notebook,2400,2,2016-01-24
Samsung Dual Core,Notebook,1500,4,2016-01-24
Câmera Digital Rebel T6,Câmera,1500,2,2016-01-24
Câmera Digital Sony Cyber,Câmera,700,4,2016-01-24
Smart TV LED Full HD 55',Televisão,2000,3,2016-01-24
Câmera Digital Sony Cyber,Câmera,700,2,2016-01-24
Smart TV LED Full HD 55',Televisão,2000,3,2016-01-24
Samsung Dual Core,Notebook,1500,1,2016-01-25
TV LED 32',Televisão,1400,3,2016-01-25
Galaxy S8,Celular,3000,1,2016-01-25
Smart TV LED Full HD 55',Televisão,2000,1,2016-01-25
iPhone 7,Celular,2500,3,2016-01-25
Smart Watch MI,Smart Watch,1200,4,2016-01-25
Smart TV 75' 4K,Televisão,5200,2,2016-01-25
Smart TV 75' 4K,Televisão,5200,1,2016-01-25
Câmera Digital Rebel T6,Câmera,1500,5,2016-01-25
Inspiron 15,Notebook,2300,5,2016-01-25
TV LED 32',Televisão,1400,2,2016-01-25
Moto G7,Celular,1400,4,2016-01-25
Aspire 5,Notebook,2400,5,2016-01-25
Galaxy S10,Celular,4500,4,2016-01-25
Smart TV 50' 4K,Televisão,2600,4,2016-01-25
Smart TV LED Full HD 55',Televisão,2000,1,2016-01-25
Inspiron 15,Notebook,2300,5,2016-01-26
Aspire 5,Notebook,2400,1,2016-01-26
Câmera Digital Sony Cyber,Câmera,700,5,2016-01-26
iPhone 7,Celular,2500,3,2016-01-26
Inspiron 15,Notebook,2300,5,2016-01-26
Moto G7,Celular,1400,3,2016-01-26
Smart TV 50' 4K,Televisão,2600,3,2016-01-26
Câmera Digital Rebel T6,Câmera,1500,1,2016-01-26
Moto G7,Celular,1400,5,2016-01-26
Câmera Digital Sony Cyber,Câmera,700,1,2016-01-26
